state_fips,state_name,cohort,cohort_mean
1,AL,1940,0.920000017
1,AL,1950,0.818000019
1,AL,1960,0.644999981
1,AL,1970,0.638999999
1,AL,1980,0.518999994
2,AK,1940,0.873000026
2,AK,1960,0.572000027
2,AK,1970,0.449999988
2,AK,1980,0.379000008
4,AZ,1940,0.88499999
4,AZ,1950,0.739000022
4,AZ,1960,0.577000022
4,AZ,1970,0.574999988
4,AZ,1980,0.462000012
5,AR,1940,0.921000004
5,AR,1950,0.833000004
5,AR,1960,0.707000017
5,AR,1970,0.660000026
5,AR,1980,0.560000002
6,CA,1940,0.890999973
6,CA,1950,0.712000012
6,CA,1960,0.579999983
6,CA,1970,0.572000027
6,CA,1980,0.488000005
8,CO,1940,0.920000017
8,CO,1950,0.774999976
8,CO,1960,0.549000025
8,CO,1970,0.628000021
8,CO,1980,0.499000013
9,CT,1940,0.922999978
9,CT,1950,0.790000021
9,CT,1960,0.667999983
9,CT,1970,0.640999973
9,CT,1980,0.518000007
10,DE,1940,0.916000009
10,DE,1950,0.819000006
10,DE,1960,0.708000004
10,DE,1980,0.513999999
11,DC,1940,0.862999976
11,DC,1950,0.773999989
11,DC,1960,0.717000008
11,DC,1970,0.68900001
11,DC,1980,0.662
12,FL,1940,0.904999971
12,FL,1950,0.772000015
12,FL,1960,0.623000026
12,FL,1970,0.614000022
12,FL,1980,0.458000004
13,GA,1940,0.921000004
13,GA,1950,0.825999975
13,GA,1960,0.629999995
13,GA,1970,0.595000029
13,GA,1980,0.481999993
15,HI,1940,0.944000006
15,HI,1960,0.597000003
15,HI,1970,0.546000004
15,HI,1980,0.5
16,ID,1940,0.94599998
16,ID,1950,0.811999977
16,ID,1960,0.684000015
16,ID,1980,0.492000014
17,IL,1940,0.924000025
17,IL,1950,0.782000005
17,IL,1960,0.595000029
17,IL,1970,0.583000004
17,IL,1980,0.469999999
18,IN,1940,0.943000019
18,IN,1950,0.790000021
18,IN,1960,0.597000003
18,IN,1970,0.586000025
18,IN,1980,0.483999997
19,IA,1940,0.948000014
19,IA,1950,0.828999996
19,IA,1960,0.657000005
19,IA,1970,0.657000005
19,IA,1980,0.540000021
20,KS,1940,0.93599999
20,KS,1950,0.82099998
20,KS,1960,0.663999975
20,KS,1970,0.630999982
20,KS,1980,0.497000009
21,KY,1940,0.91900003
